Date,Month,Outlet ID,Outlet Name,City,Country,Terminal Type,Service,Product,Partner,Free PAX,Paid PAX,Total PAX,Unit Selling Price,Unit Cost,Currency,Total Revenue,Total Cost,Total Margin,Has Issue,Debug Reason
"2026-01-01","Jan 2026","293513835182","V3 China Eastern Airline Lounge","Beijing","China","Domestic","Global Lounge","Global Lounge","ETT",7.0000,0.0000,7.0000,50.0000,53.0000,"USD",350.0000,371.0000,-21.0000,"No",""
"2026-01-01","Jan 2026","299684090463","Premium Lounge","Asansol","India","","Railways Lounge","Railways Lounge","ICICI",3.0000,0.0000,3.0000,399.0000,297.0000,"INR",1197.0000,891.0000,306.0000,"No",""
"2026-01-01","Jan 2026","300222516450","Primeclass Lounge","Zagreb","Croatia","International","Global Lounge","Global Lounge","ETT",2.0000,0.0000,2.0000,50.0000,67.0432,"USD",100.0000,134.0863,-34.0863,"No",""
"2026-01-01","Jan 2026","301624033519","Business Club","Belgrade","Serbia","International","Global Lounge","Global Lounge","ETT",8.0000,0.0000,8.0000,50.0000,42.5462,"USD",400.0000,340.3693,59.6307,"No",""
"2026-01-01","Jan 2026","310854304319","Hello Sky Lounge","Bergamo","Italy","International","Global Lounge","Global Lounge","ETT",1.0000,0.0000,1.0000,50.0000,65.4355,"USD",50.0000,65.4355,-15.4355,"No",""
"2026-01-01","Jan 2026","313702517068","Sala VIP Nivaria","Tenerife","Spain","Domestic","Global Lounge","Global Lounge","ETT",7.0000,0.0000,7.0000,50.0000,73.1009,"USD",350.0000,511.7061,-161.7061,"No",""
"2026-01-01","Jan 2026","334317740641","IRCTC Lounge","Delhi","India","","Railways Lounge","Railways Lounge","AU",7.0000,0.0000,7.0000,475.0000,330.0000,"INR",3325.0000,2310.0000,1015.0000,"No",""
"2026-01-01","Jan 2026","334317740641","IRCTC Lounge","Delhi","India","","Railways Lounge","Railways Lounge","ICICI",17.0000,0.0000,17.0000,462.0000,330.0000,"INR",7854.0000,5610.0000,2244.0000,"No",""
"2026-01-01","Jan 2026","334317740641","IRCTC Lounge","Delhi","India","","Railways Lounge","Railways Lounge","IDFC Bank",12.0000,0.0000,12.0000,400.0000,330.0000,"INR",4800.0000,3960.0000,840.0000,"No",""
"2026-01-01","Jan 2026","334317740641","IRCTC Lounge","Delhi","India","","Railways Lounge","Railways Lounge","RBL",4.0000,0.0000,4.0000,460.0000,330.0000,"INR",1840.0000,1320.0000,520.0000,"No",""
